A	B	C	D	E	F
0.927	4986.73	0.369	1.296	0.404	A
0.375	8915.21	0.243	0.618	0.656	B
0.287	5654.59	0.451	0.738	0.96	B
0.134	8905.25	0.605	0.739	0.584	D
0.37	7883.4	0.871	1.241	1.844	D
0.807	3712.68	0.732	1.539	1.098	C
0.421	2079.17	0.599	1.02	1.95	C
0.575	307.46	0.084	0.659	1.13	D
0.091	4636.4	0.171	0.262	1.018	D
0.939	4309.71	0.053	0.992	0.556	B
0.74	8307.71	0.732	1.472	0.958	B
0.944	2885.78	0.885	1.829	1.938	D
0.002	846.72	0.256	0.258	0.07	A
0.055	5525.17	0.854	0.909	0.326	D
0.111	8346.8	0.679	0.79	1.548	C
0.416	1413.18	0.341	0.757	1.722	C
0.33	5025.5	0.095	0.425	1.08	C
0.503	7332.75	0.07	0.573	0.066	B
0.198	2241.22	0.021	0.219	1.868	C
0.165	7023.87	0.647	0.812	1.878	D
0.145	8811.01	0.388	0.533	0.396	C
0.881	4026.5	0.153	1.034	0.74	C
0.742	1296.83	0.746	1.488	1.532	B
0.625	33.66	0.539	1.164	1.162	A
0.441	1957.36	0.582	1.023	1.238	C
0.563	1344.03	0.069	0.632	1.94	A
0.926	4017.48	0.857	1.783	0.64	B
0.092	6848.18	0.602	0.694	1.264	C
0.922	5364.5	0.287	1.209	0.344	A
0.662	4187.01	0.142	0.804	0.722	A
0.838	40.28	0.055	0.893	1.214	A
0.204	5879.17	0.076	0.28	0.638	C
0.184	2826.4	0.813	0.997	1.976	A
0.923	5322.86	0.946	1.869	0.492	D
0.8	7200.37	0.611	1.411	1.81	A
0.509	8079.47	0.203	0.712	0.598	A
0.606	6578.89	0.947	1.553	1.966	A
0.857	4072.74	0.117	0.974	1.426	D
0.03	5824.55	0.376	0.406	0.814	C
0.567	5913.48	0.368	0.935	0.236	D
0.858	1724.05	0.583	1.441	1.982	D
0.668	4305.38	0.88	1.548	1.024	D
0.667	4632.84	0.081	0.748	0.34	A
0.918	2156.29	0.578	1.496	1.268	D
0.612	9285.54	0.054	0.666	1.994	C
0.613	625.93	0.491	1.104	0.746	D
0.538	3570.06	0.23	0.768	0.226	C
0.087	3962.46	0.092	0.179	0.772	A
0.239	8512.04	0.946	1.185	0.424	B
0.644	6773.35	0.804	1.448	0.762	B
0.263	5594.43	0.176	0.439	1.9	D
0.882	814.15	0.425	1.307	0.132	D
0.91	8687.02	0.883	1.793	0.132	A
0.03	1683.69	0.687	0.717	0.648	C
0.875	3853.15	0.584	1.459	1.254	D
0.151	2133.2	0.446	0.597	1.188	D
0.293	9897.18	0.891	1.184	0.104	C
0.735	4989.57	0.229	0.964	0.146	D
0.743	4333.13	0.232	0.975	0.652	A
0.748	447.64	0.851	1.599	0.12	A
0.1	268.17	0.61	0.71	0.77	B
0.892	4006.22	0.72	1.612	0.398	C
0.384	652.09	0.419	0.803	1.25	D
0.089	9033.13	0.809	0.898	0.984	A
0.697	3901.79	0.017	0.714	1.954	A
0.409	7985.26	0.82	1.229	1.73	C
0.885	448.95	0.372	1.257	0.244	D
0.773	3534.42	0.402	1.175	0.052	B
0.621	3488.13	0.857	1.478	1.156	D
0.653	6771.08	0.315	0.968	0.926	D
0.452	4638.01	0.958	1.41	0.322	C
0.977	9593.01	0.765	1.742	0.26	D
0.531	5166.04	0.239	0.77	0.384	D
0.466	1113.08	0.045	0.511	0.512	A
0.909	2819.1	0.889	1.798	1.32	A
0.291	8633.29	0.77	1.061	1.406	B
0.159	7682.25	0.037	0.196	0.376	C
0.367	4664.92	0.06	0.427	1.144	A
0.789	2030.17	0.702	1.491	0.022	C
0.844	5200.81	0.716	1.56	0.476	D
0.782	6988.16	0.486	1.268	1.05	D
0.802	7486.02	0.485	1.287	0.606	C
0.591	9904.17	0.29	0.881	0.194	A
0.74	5911.93	0.187	0.927	0.636	B
0.832	2340.32	0.703	1.535	1.416	B
0.745	927.8	0.059	0.804	1.642	D
0.767	3273.84	0.226	0.993	1.74	C
0.037	1431.04	0.302	0.339	0.196	A
0.366	2123.74	0.046	0.412	0.888	A
0.302	5889.12	0.126	0.428	1.186	D
0.7	7395.34	0.182	0.882	1.224	B
0.154	1252.67	0.499	0.653	1.324	D
0.862	7328.58	0.286	1.148	1.732	B
0.764	1615.76	0.989	1.753	0.11	A
0.008	5722.79	0.914	0.922	1.086	D
0.496	8093.98	0.829	1.325	0.716	D
0.834	2307.36	0.192	1.026	1.908	C
0.626	9396.31	0.216	0.842	0.664	D
0.267	4285.92	0.407	0.674	0.988	A
0.554	7077.36	0.881	1.435	0.33	C
0.21	613.1	0.774	0.984	1.216	C
0.364	5348.13	0.831	1.195	0.088	A
0.355	1448.86	0.004	0.359	0.894	C
0.105	7005.08	0.232	0.337	1.38	D
0.179	8057.08	0.521	0.7	1.044	A
0.573	3873.64	0.969	1.542	0.388	A
0.606	8119.57	0.546	1.152	1.6	A
0.579	9108.17	0.749	1.328	0.912	B
0.773	2588.26	0.478	1.251	1.23	B
0.055	3889.99	0.568	0.623	0.258	B
0.72	561.09	0.419	1.139	0.076	D
0.09	7929.38	0.433	0.523	1.598	C
0.277	4485.15	0.707	0.984	0.414	D
0.426	1978.2	0.662	1.088	1.764	C
0.655	8362.92	0.065	0.72	0.786	A
0.15	8793.26	0.787	0.937	0.39	C
0.469	6172.65	0.031	0.5	1.67	C
0.522	1989.32	0.426	0.948	0.944	C
0.042	4967.3	0.41	0.452	0.526	A
0.34	8703.1	0.458	0.798	1.366	C
0.442	9157	0.592	1.034	0.42	B
0.52	2966.56	0.311	0.831	1.9	C
0.179	8027.43	0.766	0.945	1.488	B
0.635	3475.79	0.686	1.321	1.538	C
0.465	1597.84	0.137	0.602	0.686	C
0.34	3511.85	0.067	0.407	1.688	D
0.045	160.49	0.903	0.948	0.076	A
0.391	9087.92	0.638	1.029	0.526	D
0.194	1129.08	0.026	0.22	1.956	D
0.248	6732.04	0.034	0.282	1.378	C
0.392	9353.29	0.504	0.896	0.236	A
0.482	8966.09	0.663	1.145	1.402	C
0.918	3378.4	0.467	1.385	1.656	B
0.672	2714.84	0.437	1.109	1.932	C
0.191	1118.96	0.684	0.875	1.606	C
0.175	7332.33	0.792	0.967	0.736	D
0.008	5727.41	0.194	0.202	1.064	C
0.444	1169.09	0.551	0.995	0.304	A
0.183	9783.44	0.257	0.44	0.182	B
0.9	9422.17	0.818	1.718	1.97	D
0.306	3338.33	0.422	0.728	1.446	D
0.856	447.07	0.973	1.829	0.47	D
0.889	5844.09	0.169	1.058	0.888	C
0.707	1205.44	0.04	0.747	1.596	B
0.265	8794.68	0.827	1.092	1.854	D
0.772	9215.01	0.898	1.67	0.756	D
0.4	699.09	0.579	0.979	1.726	B
0.92	2061.44	0.619	1.539	1.06	B
0.425	4168.72	0.049	0.474	1.638	A
0.002	8082.45	0.074	0.076	0.746	D
0.052	8476.21	0.619	0.671	1.344	D
0.801	3335.54	0.701	1.502	1.588	D
0.183	1624.79	0.59	0.773	0.524	D
0.163	118.3	0.169	0.332	1.216	D
0.697	4342.25	0.735	1.432	0.186	B
0.995	9065.28	0.691	1.686	0.87	D
0.298	7223.65	0.62	0.918	1.442	A
0.253	9556.14	0.592	0.845	1.134	C
0.304	4296.68	0.869	1.173	1.41	C
0.691	4768.13	0.933	1.624	0.668	C
0.674	2278.6	0.65	1.324	1.88	C
0.417	3557.88	0.881	1.298	0.834	C
0.882	8982.96	0.987	1.869	0.834	A
0.479	629.94	0.247	0.726	1.702	C
0.522	4814.48	0.766	1.288	1.456	D
0.099	434.23	0.014	0.113	1.892	B
0.519	7994.44	0.101	0.62	1.634	A
0.662	2099.75	0.063	0.725	0.028	D
0.477	2940.16	0.343	0.82	1.636	A
0.112	1431.9	0.405	0.517	0.832	D
0.615	8273.14	0.587	1.202	1	B
0.283	5769.06	0.776	1.059	0.182	B
0.697	2844.08	0.181	0.878	0.702	B
0.276	7534.53	0.345	0.621	0.134	C
0.431	4554.2	0.873	1.304	0.346	C
0.222	6918.04	0.88	1.102	1.058	B
0.205	1890.4	0.631	0.836	1.072	A
0.627	9685.24	0.929	1.556	1.57	A
0.004	9308.34	0.169	0.173	0.516	A
0.323	1056.5	0.074	0.397	1.058	C
0.011	1902.95	0.072	0.083	0.704	A
0.845	3272.87	0.353	1.198	1.636	C
0.658	5414.08	0.546	1.204	0.51	A
0.31	1860.55	0.169	0.479	1.104	D
0.342	824.98	0.566	0.908	0.252	C
0.535	7464.79	0.038	0.573	0.408	A
0.167	2158.18	0.483	0.65	0.812	A
0.312	3813.04	0.651	0.963	0.256	A
0.452	1871.75	0.254	0.706	0.14	B
0.201	7295.53	0.046	0.247	0.354	B
0.888	6685.27	0.815	1.703	1.068	B
0.257	9785.07	0.15	0.407	1.386	D
0.262	197.07	0.608	0.87	1.214	A
0.487	7731.82	0.155	0.642	0.772	C
0.905	7354.51	0.03	0.935	1.688	B
0.279	4285.37	0.641	0.92	0.116	D
0.854	7166.49	0.867	1.721	0.17	D
0.189	3967.2	0.272	0.461	0.406	C
0.013	1063.11	0.927	0.94	1.138	C
0.723	3317.86	0.499	1.222	1.72	C
0.707	1198.99	0.733	1.44	1.824	D
0.693	3085.43	0.526	1.219	0.67	D
0.166	3052.46	0.476	0.642	1.51	A
0.062	6754.17	0.191	0.253	1.644	B
0.657	3399.17	0.015	0.672	0.71	C
0.643	5628.28	0.897	1.54	1.35	A
0.971	5654.88	0.457	1.428	0.314	C
0.957	5284.57	0.312	1.269	1.412	A
0.981	9227.95	0.789	1.77	1.858	D
0.343	4637.37	0.251	0.594	0.68	A
0.74	8347.61	0.838	1.578	1.368	A
0.267	8793.91	0.128	0.395	0.032	B
0.566	8449.53	0.783	1.349	1.778	C
0.864	8362.15	0.797	1.661	1.65	B
0.328	4637.11	0.982	1.31	1.268	D
0.572	836.57	0.11	0.682	0.192	D
0.362	1535.43	0.66	1.022	1.532	D
0.368	107.9	0.266	0.634	0.224	D
0.06	7777.39	0.409	0.469	0.618	D
0.997	3919.1	0.685	1.682	0.056	B
0.256	3767.82	0.718	0.974	1.452	A
0.828	9712.13	0.177	1.005	1.79	D
0.276	2317.34	0.329	0.605	0.468	B
0.703	9162.79	0.03	0.733	0.528	A
0.501	7102.28	0.045	0.546	1.47	B
0.286	9234.91	0.91	1.196	0.518	D
0.322	4916.34	0.434	0.756	1.568	D
0.013	8874.06	0.343	0.356	0.97	C
0.783	9519.07	0.491	1.274	0.89	D
0.564	9954.23	0.825	1.389	1.424	D
0.247	5972.66	0.168	0.415	1.326	A
0.82	4601.61	0.851	1.671	1.148	D
0.467	8989.86	0.554	1.021	0.028	A
0.035	9882.64	0.564	0.599	0.748	C
0.987	2666.8	0.174	1.161	1.076	B
0.604	6437.5	0.297	0.901	0.518	A
0.581	5359.03	0.348	0.929	1.114	D
0.666	6577.53	0.351	1.017	0.162	C
0.402	3216.41	0.371	0.773	1.842	A
0.133	4377.14	0.802	0.935	0.544	A
0.215	467.11	0.796	1.011	0.52	D
0.224	8665.31	0.8	1.024	1.686	D
0.895	6130.25	0.509	1.404	1.826	A
0.874	8808.04	0.349	1.223	0.412	B
0.186	9128.92	0.749	0.935	1.366	A
0.322	5658.53	0.57	0.892	0.27	D
0.272	2046.53	0.251	0.523	0.7	D
0.58	4003.26	0.943	1.523	0.172	A
0.61	7412.76	0.008	0.618	0.428	D
0.489	3460.9	0.727	1.216	1.162	A
0.114	2506.77	0.406	0.52	1.384	A
0.208	7398.01	0.741	0.949	1.198	B
0.496	9397.74	0.4	0.896	0.442	A
0.657	4538.64	0.342	0.999	0.02	C
0.135	4908.72	0.456	0.591	0.446	B
0.418	8389.27	0.761	1.179	0.75	B
0.173	5912.54	0.756	0.929	1.326	A
0.39	2735.25	0.21	0.6	1.032	B
0.792	504.65	0.765	1.557	1.61	D
0.698	2375.27	0.579	1.277	0.63	B
0.802	7487.84	0.887	1.689	0.328	A
0.119	5958.68	0.495	0.614	0.438	A
0.986	5127.7	0.728	1.714	0.074	D
0.184	9229.66	0.776	0.96	1.23	A
0.871	2688.94	0.382	1.253	1.014	D
0.41	2115.19	0.904	1.314	1.832	A
0.725	7534.35	0.164	0.889	0.654	B
0.386	9200.47	0.105	0.491	1.03	D
0.246	8415.11	0.92	1.166	0.798	B
0.371	6053.22	0.955	1.326	0.392	B
0.566	8898.01	0.219	0.785	0.942	D
0.333	6560.09	0.541	0.874	1.188	C
0.807	8013.04	0.931	1.738	0.85	D
0.788	66.81	0.09	0.878	1.96	D
0.456	2161.79	0.287	0.743	0.316	C
0.564	2488.74	0.415	0.979	0.14	B
0.202	5734.72	0.857	1.059	0.354	B
0.687	2734.63	0.34	1.027	0.036	C
0.443	4725.73	0.624	1.067	0.802	D
0.619	7667.23	0.108	0.727	0.786	D
0.527	6010.49	0.913	1.44	1.994	B
0.401	2531.83	0.824	1.225	0.178	B
0.654	2873.44	0.086	0.74	1.834	C
0.34	2387.72	0.876	1.216	1.142	B
0.829	6961.18	0.756	1.585	0.528	B
0.492	768.64	0.749	1.241	0.64	A
0.009	7056.37	0.833	0.842	1.918	D
0.267	4715.67	0.852	1.119	1.984	A
0.419	3176.98	0.064	0.483	1.828	C
0.613	7418.74	0.979	1.592	1.568	A
0.056	4138.73	0.712	0.768	1.766	B
0.766	280.25	0.22	0.986	0.208	D
0.258	5726.62	0.575	0.833	1.534	D
0.374	2651.95	0.533	0.907	1.838	D
0.365	6499.93	0.1	0.465	0.004	A
0.254	6541.85	0.59	0.844	0.102	D
0.562	1024.71	0.217	0.779	1.942	D
0.013	9040.78	0.001	0.014	0.118	B
0.912	5835.61	0.578	1.49	1.928	C
0.526	1690.49	0.01	0.536	1.424	D
0.466	3241.38	0.764	1.23	1.34	B
0.34	4460.81	0.623	0.963	0.652	B
0.222	6101.84	0.323	0.545	0.45	C
